"title","body","labels","assignees","milestone","state","state_reason"
"Quests - Wanted / Post signs","Make Post sign unit","","","","notStarted",""
"Quests - Wanted / Post signs","Has dialog to select from quests","","","","notStarted",""
"Quests - Wanted / Post signs","QuestReceivers are always elsewhere, like Ragmo or someone","","","","notStarted",""
"Quests - Wanted / Post signs","Quests from these are usually simple, for example:","","","","notStarted",""
"Quests - Wanted / Post signs","Kill boss x","","","","notStarted",""
"Quests - Wanted / Post signs","Find missing person x","","","","notStarted",""
"Quests - Wanted / Post signs","Kill 8 Crocolisks","","","","notStarted",""
"Quests - Wanted / Post signs","Gather 8 Flowers","","","","notStarted",""
"Quests - Wanted / Post signs","Conquer area X","","","","notStarted",""
"Articy vs other","Articy gas some new auests etc that are not in WE or todo maybe","","","","notStarted",""
"Articy vs other","Best to use visio / PowerPoint to build simple structure?","","","","notStarted",""
"Articy vs other","Or use Articy","","","","notStarted",""
"Articy vs other","Articy: is it possible to just usd ""entity_generic"" and just name in the Flow? Like the npc name etc","","","","notStarted",""
"MAIN STORY points","Fel Orcs / Demons story act (1):","","","","notStarted",""
"MAIN STORY points","(1): At the start of the game fel corruption of the orcs is briefly shown by narrator","","","","notStarted",""
"MAIN STORY points","(1): Some ""normal"" orcs are secretly joining the Fel orcs to create new powerful Dark Horde","","","","notStarted",""
"MAIN STORY points","(1): Chieftain Thork is a pawn of the Dark Horde but as high ranking member","","","","notStarted",""
"MAIN STORY points","(1): Master warlock / dark shaman XXX is trying to get the Dark Portal open act as a gateway between worlds - to gain immersive power to the Dark Horde (but ultimately to himself)","","","","notStarted",""
"MAIN STORY points","(1): When Master warlock / dark shaman succeeds in opening the Dark Portal - A powerful unknown demon entity will appear from the portal","","","","notStarted",""
"MAIN STORY points","(1): Unknown boss demon and other lesser demons kill the Dark Shaman and the orcs and break havoc","","","","notStarted",""
"MAIN STORY points","(1): The player must unite the humans, elves, and the orcs to defeat the Demons and close the Dark Portal","","","","notStarted",""
"MAIN STORY points","(1): Chieftain Thork may be killed or let him live","","","","notStarted",""
"MAIN STORY points","(1): There are multiple places in the map where dark shamans try to corrupt the place/elements to gain something XXX (Tortured Essences?) - main point is to open the Dark Portal","","","","notStarted",""
"MAIN STORY points","(1): There will be demons slowly spreading from the Fel Bastion across the zones; Riverbane/Ghostridge Post acts as the Frontier against the demons","","","","notStarted",""
"Soundsets for cloning","https://www.hiveworkshop.com/threads/all-missing-wc3-unit-hero-soundsets.368782/","","","","completed",""
"Soundsets for cloning","Use as needed for cloning","","","","notStarted",""
"Weather effects & related","Snow: cold + frostbite","","","","notStarted",""
"Weather effects & related","Rain: see less / other?","","","","notStarted",""
"Weather effects & related","Wind: slow down","","","","notStarted",""
"Weather effects & related","Storm: chance that lightning strike hits you or anyone in the area","","","","notStarted",""
"Big JASS THING","https://www.hiveworkshop.com/threads/lua-control-the-order-of-the-scripts.340838/","","","","notStarted",""
"Big JASS THING","Prometheus3375: New code blocks and new triggers are always placed at the bottom of the script, even if rearranged. But after you reopen map in the editor and save again, all stuff is placed in the order as in the Trigger Editor.","","","","notStarted",""
"Big JASS THING","Pyrogasm: And that was the way we made JASS libraries with dependencies work back in the day. (Disable) > Save > Close > Reopen > (Enable) > Save","","","","notStarted",""
"Big JASS THING","https://www.hiveworkshop.com/threads/jass-undeclared-function.175107/","","","","notStarted",""
"Big JASS THING","!!!!!","","","","notStarted",""
"Quests / story:","Still need to draw big picture of what effects what","","","","notStarted",""
"Quests / story:","Dont make too many variations or if you make they cant affect more tgan 2 ways to other leading events","","","","notStarted",""
"Quests / story:","Articy - tänne on jo jotain tehty?","","","","notStarted",""
"Quests / story:","DrawIO on ok vaihtoehto","","","","notStarted",""
"Aveline (Warrior) / Riverbane","Make as Riverbane Hero","","","","notStarted",""
"Aveline (Warrior) / Riverbane","Warrior abilities","","","","notStarted",""
"Aveline (Warrior) / Riverbane","Note: need to implement AI logic better to handle multiple same unit-type AI","","","","notStarted",""
"Aveline (Warrior) / Riverbane","=====","","","","notStarted",""
"Aveline (Warrior) / Riverbane","Backstory: ","","","","notStarted",""
"Aveline (Warrior) / Riverbane","Character type:","","","","notStarted",""
"Aveline (Warrior) / Riverbane","Initial status: staying in certsin region killing orcs and bandits","","","","notStarted",""
"Aveline (Warrior) / Riverbane","Quest: help her to defeat the bandits","","","","notStarted",""
"Aveline (Warrior) / Riverbane","Quest: help her rescue villagers","","","","notStarted",""
"Aveline (Warrior) / Riverbane","Companion - if rep ok or Quest","","","","notStarted",""
"Aveline (Warrior) / Riverbane","Quest: take Aveline with you to speak to the orcs of peace between Riverbane citizen and the orcs - orc will challenge her to duel and she will win","","","","notStarted",""
"Aveline (Warrior) / Riverbane","Quest chain done result: riverbane citizen friendly to horde","","","","notStarted",""
"MapIcons / DynamicMinimap","Show/hide map icons deoemding on current camera unit distance to those icon (icon units)","","","","notStarted",""
"MapIcons / DynamicMinimap","Icons should be created amd handled in one place with API","","","","notStarted",""
"MapIcons / DynamicMinimap","DynamicMinimap calls to Icons API - full map can show all icons","","","","notStarted",""
"MapIcons / DynamicMinimap","Button in minimap enlarged to show quest givers, show travel, etc icons PoI","","","","notStarted",""
"Latest things 17.1->","Add ""Fesh_Final.mdx"" Piranha fish","","","","completed",""
"Latest things 17.1->","add Sonya by Razorclaw_X / Blizzard Entertainment (Sonya.mdx)","","","","completed",""
"Latest things 17.1->","add Gnoll Camp Doodads all doodads listed in Changelog","","","","completed",""
"Latest things 17.1->","LAG when selecting NORTHERN CRYPT ENTRANCE DOODAD - shaders whatever could cause? BOUNDARIES ARE HUGE was the cause?","","","","notStarted",""
"Latest things 17.1->","world_wmo_dungeon_md_crypt_md_crypt_f_northrend2b.wmo causes lag","","","","notStarted",""
"Latest things 17.1->","Some other wmo also causes lag in crypt, eliminate lag reason by deleting doodads to find out and write here ....................","","","","notStarted",""
"Latest things 17.1->","see re-edited models in:","","","","notStarted",""
"Latest things 17.1->","C:\Users\Valtteri\Desktop\WoWExport2\Crypt\XXX\DeattachedModels\world_wmo_dungeon_md_crypt_md_crypt_f_northrend.wmo\FIXED MODELS","","","","notStarted",""
"Latest things 17.1->","check others with https://viewer.hiveworkshop.com/check/","","","","notStarted",""
"Latest things 17.1->","and fix with Retera studio tools - 1. Minimize geosets 2. Sort nodes 3. Recalculate normals 4. Recalculate Extends","","","","notStarted",""
"Latest things 17.1->","Change isometric camera locked value back to 0","","","","notStarted",""
"Latest things 17.1->","Zones - TasQuestBox - was not hidden in ON cinematic (Riverbane when under level) - probably the trigger itself does not call ON CInematic trigger","","","","notStarted",""
"Latest things 17.1->","Zones / Fog system - it seems fog colors are not correct? Not as blue at night as intended by values","","","","notStarted",""
"Latest things 17.1->","Crypt model (outside) is gone - is the new model correctly set in object editor etc - WAS INCORRECT PATH","","","","notStarted",""
"Latest things 17.1->","COPY: ZonesCore.j to main map (updated IsDay check and ApplyFog","","","","completed",""
"Latest things 17.1->","COPY: new FogSystem to main map","","","","completed",""
"Latest things 17.1->","DayNightEvent: needs to be checked if it could be improved to always return proper value day or night boolean - maybe need reinforced timer check after event occurs to check if time of day is greater than XXX","","","","completed",""
"Latest things 17.1->","Zones: Now trial-by-error get good zone fog settings - can be very sensitive to changes, best FOG (that can really be seen) is start:400, end:3000","","","","notStarted",""
"Latest things 17.1->","Check values for different weather fogs - simulate with each weather to get good stock values","","","","notStarted",""
"Latest things 17.1->","COPY: WeatherSystem.j (update version)","","","","completed",""
"Latest things 17.1->","COPY: DayNightEvent added triggers and Timer variable","","","","completed",""
"Latest things 17.1->","NOTE: WeatherShared library under construction all relevant API here that WeatherSystem and Zones can require","","","","notStarted",""
"Latest things 17.1->","NOTE 2: might have to revert back to versions / see how DInv / SharedLib does it without going batshit crazy on different implementations","","","","completed",""
"Latest things 17.1->","NOTE 3: yeah something not right - WeatherShared seems to return null ","","","","completed",""
"Latest things 17.1->","NOTE 4: WeatherShared should also have the function to call Zones_ApplyCurrentEffects","","","","completed",""
"Latest things 17.1->","NOTE 5: How others have made ""shared library""","","","","completed",""
"Latest things 17.1->","Note 5b: how you have done?","","","","completed",""
"Latest things 17.1->","https://www.hiveworkshop.com/threads/public-library-function-not-defined.312947/","","","","notStarted",""
"Latest things 17.1->","https://www.hiveworkshop.com/threads/how-can-i-make-jass-function-global.356422/","","","","notStarted",""
"Latest things 17.1->","RES: not using atm WeatherShared library - reverted","","","","completed",""
"Latest things 17.1->","see idea from chatgpt: https://chatgpt.com/share/696e74d8-1100-800e-81e9-c578e2e29461","","","","notStarted",""
"Latest things 17.1->","Main idea: make core Weather/Zone library that other libraries use","","","","completed",""
"Latest things 17.1->","Question: the core library needs to also access all these sublibraries?????? And cycle again??!","","","","completed",""
"Latest things 17.1->","Make zones and weathersystem push data into core library???","","","","completed",""
"Latest things 17.1->","Chatgpt now has basic logic the relationship between zones and weather","","","","completed",""
"Latest things 17.1->","Might take while to reconstruct the libraries work as they now work with current versions","","","","completed",""
"Latest things 17.1->","===============","","","","notStarted",""
"Latest things 17.1->","WeatherSystemv2 to be refactored after ZonesCore and Zonesv2 are fully working without weather implementation","","","","notStarted",""
"Latest things 17.1->","ZonesCore <=> WeatherSystem: Add allowed weather, add weather chance, add other parameters related to weather - prefix all with ""z.weatherXXX"" examples below","","","","notStarted",""
"Latest things 17.1->","z.weatherAllowed (boolean) = by default TRUE (only put to Zones where you dont want this)","","","","completed",""
"Latest things 17.1->","z.weatherTypes (string array)","","","","completed",""
"Latest things 17.1->","z.weatherChance --- maybe z.weatherChanceStorm, z.weatherChanceRainLight, etc. or single variable OR method with multiparameters","","","","completed",""
"Latest things 17.1->","z.weatherEnableThunder = by default TRUE (only put to Zones where you dont want this)","","","","notStarted",""
"Latest things 17.1->","z.weatherEnableClouds = by default TRUE (only put to Zones where you dont want this)","","","","notStarted",""
"Latest things 17.1->","Some thinking related to how to use methods / etc. in default state if something not defined in Zone configuration","","","","completed",""
"Latest things 17.1->","e.g., default weather types for zones - some problems","","","","completed",""
"Latest things 17.1->","see chatgpt for high level plan: https://chatgpt.com/share/696e74d8-1100-800e-81e9-c578e2e29461","","","","notStarted",""
"Latest things 17.1->","COPY: ZoneEvent.j to main map (ZoneEvent)","","","","completed",""
"Latest things 17.1->","WeatherSystem: rainlight test no rain was spawned","","","","completed",""
"Latest things 17.1->","WeatherSystem: multiple functions that seem to OLD leftover functions when the zone specifications were written inside WeatherSystem - need to REFACTOR library whole level to utilize ZoneCore functions get/set as needed","","","","notStarted",""
"Latest things 17.1->","WeatherSystem: e.g., functions like ""FindMasterZoneIndex"" etc. seem leftover","","","","notStarted",""
"Latest things 17.1->","WeatherSystem: Needs to be review and refactored to use ZonesCore ZoneData properly","","","","notStarted",""
"Latest things 17.1->","Problems: WeatherSystem logic fetching Zone ID / Zone name (AI fuss shit)","","","","notStarted",""
"Latest things 17.1->","i dont get why weathersystem would even need zone ID or name, either would just be fine to retrieve all that zone specific data","","","","notStarted",""
"Latest things 17.1->","Note main map: old fog system left - to be removed - also need to update Zones and WeatherSystem when done","","","","notStarted",""
